,comments,sentiment
31,dump pair ccp agents,0
32,criminal evidence came joe biden family recieved payouts ukrain china russia look type hunter biden laptop,1
33,biden harris 2020,0
34,haha joke pence crushed,0
35,wow comments section,1
36,wow trump pence bashing anything even starts wheres debate,1
37,kamala makes memany sick key moment many im hoping regurgitated whole good people sides cutpaste comment debateplainly showing believes thinks people really stupid ignorant couldnt believe topic fairly well know context looking people,1
38,think either told truth either give damn american youre r p p n trump pence biden harris liars exploiting us gain mean thats obvious enough fact switch political positions every years appeal majority also backed large corporations like lockheed martin pharmaceutical research manufacturers america pram giving millions implement policies instead ones favored american people dumb comment section could praise either obviously dont care goes politicians youre never going see good one high hard make far dont accept money corporations via lobbying run ridiculous ad campaigns demonizing side things dont even believe wont even tell research want know ill send sources peer reviewed evidence,1
39,kamala worst vite biden vote harris,1
40,nine top ten poorest states republican controlled legislatures women vote republicans statement brainwashed culturally religiously believing male violence domination acceptable trumppence office four years done nothing change horrible healthcare situation country brought corporate greed allowed run unabated economy take credit built 780 trillion dollar stimulus package obama administration enacted republican party party violence pro corporate interest serve personal desires power sociopathic instead pro corporate interest serve general publics health financial well feel sorry republican voting women brainwashing taught passed generationally aware suffer form stockholm syndrome proven vote pence trump regardless acts either commit show zero respect women including acts marital affairs referring women body parts making fun womens intelligence playing religious card know many ignorant enough fall duping especially poorest states wealthier states often find women vote republican either religiously brainwashed catholic church depends income incredibly money focused women care personal status viewed others lives others including children anything money status dont women like vote democrat women vote republican money greedy example senior white women florida doctors nurses dying covid19 due saturation lack ppe still yet poor rural folks male female vote republican undereducated therefor vulnerable lies powerful power seeking males women love dependent needs met,0
41,bidenharris cancer america,0
42,dumb ho got reckt,0
43,honestly feel like kamala taking notes everything thing mike pence says forgot everything,1
44,4330 laughing everyone loooooves little line days excuse im talking lmao,1
45,vote green party,0
46,let go biden,0
47,breakfast 2 slices wonder bread thin slather miracle whip 2 egg whites pinch flour spice since holidays coming glass skim milk sprinkle baking soda 5 minutes forget 125 tip plan leaving,1
48,kamala dna results came back labelled willie brown,0
49,name annoying orange totally different meaning,1
50,green new deal pdf httpsocasiocortezhousegovsitesocasiocortezhousegovfilesresolution20on20a20green20new20dealpdf educate make informed decision httpsyoutubegxidjwcbk6i,0
51,johnson johnson halted work vaccine httpswwwstatnewscom20201012johnsonjohnsoncovid19vaccinestudypausedduetounexplainedillnessinparticipant,0
52,lying us almost everything especially mild virus meet criteria even considered pandemic n qualify pandemic international guidelines people died last year tuberculosis many died causes cv19 didnt shut entire world using premise pandemic means restructure operation world power common virus strain mortality rate coldflu viruses see cdc website grants special powers authority state emergency allows things normally would exceptable stop commerce forcing small shops companies close forever limit ability travel freely much destruction rights sham justify unprecedented actions first step awareness dire thing everyone aware way life disappear history fall right back oppression dark tyranny always case brief exception united states america please understand dealing filthy rich entities able buy tools necessary armies media technologies even countries achieve communist goals dont think cant happen day age happening write asking sincerely heart great concern tears eyes please consider saying think time short thanks listening,0
53,thumb garbage,0
54,face thats hillarys forte,0
55,news flash select president corporation dba united states inc owned overseasinterest primarily crown corporationthey dont let idiot united states shitizens elect ceotheyre stupid stupid united states shitizens would like believe areyou ever hear electoral college pick president thank god hate united states shitizens trust whole less trust united states incthats pretty bad,1
56,biden2020,0
57,harris killed job well done idiots dont pay attention always keep stand point beyond stupid even acknowledged administration pitiful playing politics lifes actually like wow crazy need new letting nine heads know going,1
58,democrats destroying country especially california disadvantaged born americanor heterosexual white individual,0
59,see often got speak nothing clearly said even crazy people trying bring people,1
60,check article stand senator harris explaining senator harris avoided important questions contradicted past jeopardizing safety country httpsyucommentatororg202010wheredoyoustandsenatorharrisfbclidiwar2vk6pwnyevebuvkun65o479q8gcqvxqceo5v1atv8cgypvqsajtfskama let know think,1
61,lyin hiden bidding bidin lock lock hang high hilary clintons nightmare come trum enemy american people harris daughter l v e owner,0
62,well us 30 nations fight deaths cvirus terms global common measure extracted world bank jhu realclearpolitics restrictedreportspacejhupittu profinutube1mgoog citationsamazon us 269 grmn 271 swtz 285 nl 296 au 33 spn 34 irlnd 38 frnc 38 cnd 49 blgm 49 chn 54 irn 57 swdn 57 uk 61 itly 90 mxco 101 group 2 sngpr 005 cracao 014 iclnd 028 mldvs 033 frplns 037 bhrn 038 dubai 041 cmnilnd 043 lchtstn 045 israel 073 aruba 079 mnco 077 czch 084 nz 133 jp 180 sadly one liners half gate keepers political rivals delete facts empty much election claims fundamental science misconceptionsviolations eg total death numbers essentially reflect size national population wrongly used us attack president b group 2 reflects high care quality nursingcaringhealthcenters tight borders reducedusbigdrugfoodcodominance etc c death1mpop fails proof pandemic past v projected prepareability ppppp global governments suspctdterrorphlgoog,0
63,vp pence obviously debate cbsnn gang news people activists liberal media people,0
64,400k rich want squeeze middle class creating poor didnt enough elite trump pay nothing,0
65,natural people election day,0
66,must think 100 masses nothing mindless school jelly fish look mirror think,1
67,since presidential nominees old focus vp debates topic avoided,0
68,im glad getting replayed black hillary worse white hilary,1
69,hey wheres pc,0
70,truth joe httpswwwfacebookcomdonaldjtrumpjrvideosthebidensarethemostcorruptpoliticalfamilyinamericanhistory844968802708329,0
71,hello everybody vote election crucial determine fate also country worlds fate freedom vs communism good vs evil people vs government corruption please research watch news side left right cast vote go vote keep mind communist socialist government take never gain back freedom constitutional usa loner exist like valenzuela cuba china hong kong,1
72,truth joe httpswwwfacebookcomdonaldjtrumpjrvideosthebidensarethemostcorruptpoliticalfamilyinamericanhistory844968802708329,0
73,trumppence2020,0
74,harris excuse im talking democrats feminists woo go girl,0
75,black indicate qualified,0
76,like respect mike pences attitude sad,1
77,two racist liars,0
78,desire respect time limit go candidate told thats respect continue another question thank,0
79,eyewear eyewear ywutwwwywyyywyywyyyywywywywyywyyyyywyywywywywyywywywywywyyywywywywyyywywywywytywiywiuwywy,0
80,nobody wanted harris president tulsi destroyed anyone want kamala vp puts 1st line becoming president something happens biden,1
81,sat three minutes thinking snl episode feel dumb,0
82,msm suxdemons1,0
83,literally stand harris fool id like smack dirty looks face makes total fool excuse im speaking whorebag,1
84,guess fraud thought making childish faces would cute say women believed one say one womans accusation need checked shakey maam,1
85,kamel toe harris destroy country,0
86,president trump gods choice president god bless president trump president trump best president fulfill gods protect america support president trump fulfilling gods support biden gods enemies fulfillment biblical prophecy biden obama selfish despicable running dog accomplices ccp,1
87,told mic entire time,1
88,httpsyoutube9lusphjnpe0,0
89,dutchsense shows energy weapons get fires started haarp,0
90,voting man voting principles country stood since founding voting constitutional government voting strong viable military voting vibrant economy voting right keep bear arms voting freedom worship voting national recognition founding nation biblical principles voting ability anyone rise circumstances become successful voting children grandchildren able choose path life including children educated voting borders open everyone enters law closed everyone would circumvent ignore law voting electoral college remain place heavily populated liberal centers control elections voting supreme court interprets constitution rather rewrites voting teach history warts erase revise voting sanctity life conception birth let us make america great,1
91,fact checked kamala said trump got rid pandemic response white house mike pence denied fact checks waste time tell something inconclusive,0
92,angry blk woman,1
93,used respect mike pence trumps rubbed saying theyve always honest people lie obvious lie,1
94,pence trump brag shutting travel turn around undermine encouraging people wear mask follow cdc guidelines im still leery got rid entire cdc task force told huge pandemic likely happen get rid middle pandemic well healthcare frightening red flags,1
95,hiden biden kamel toe harris destroy country,0
96,harris evil,1
97,black privilege dictionary definition httpsyoutube1kkvtco2g5q,0
98,cant take wen got beat law suffer memory lose still dont hate law treated,1
99,tune show say put say mouth embarrassed shows rather play games real thank showing true colors,0
100,kamala knew questions prior debate go 3848 video pence adds something answer economy moderator begins say good segway next topickamala starts shaking head says thats great segway moderator explains going segway topic economy,0
101,3854 oh harris knows head next topic huh left misogynist,0
102,left look everyone fucking fly head hes eviiiiiiiil aaaaaaaaah ahhhhhh hilary fly mouth remember left sexist,0
103,notice cspan decided place logo vice president pences united states flag pin,0
104,tthththank much vice presidentcmon cut away microphone problem solved,0
105,dont know trust anymore cuz many people knows countries providing ship loads weapons adolf hitler hitlers nazi political party growing germany ww1 become dictator eliminating rival political competition,0
106,pence jr 2024,0
107,wonderful job vice president pence great closing remarks,1
108,key word code word staging debate means scripted,1
109,flyis listening,0
110,really hard keep comment respectful liar kamala harris shes bully liar,1
111,stupid flat faced b poor excuse human ive got say screw joe biden,0
112,one sided favored vp pence thats kharris keeps saying im speaking,1
113,vp pence didnt stop talkingdidnt respect harris talk 2 mins uninterrupted,0
114,famous fly history seen 12740,1
115,noticed debate vp pence keeping talking time uninterrupted thar unfair side,0
116,12 years old think intelligent 40 year old person gon na tell trump isnt racist isnt homofobic like bruh also doesnt frecking plann talking shit maskkks safe livessss,1
117,fly 2020,1
118,abt bergdahl,0
119,love conversations,1
120,think endorse always endorses view anyone feels confused,1
121,im actually surprised comment section isnt disabled stuff like,1
122,lectured,0
123,yes biden ban fracking httpswwwyoutubecomwatchv4_2ynjacfi,0
124,lol us democrats litterly screaming going shut fuck tv screen,1
125,america tries better debate disaster presidential debate fly free real estate,1
126,anyone right mind knows pence like whether youre trumps side,1
127,kamala harriss facial expressions piss fucking much holy shit people care savage sassy attitude rather logic,0
128,kamala harris rocks,0
129,pence even good actor lies almost better donald trump kinda sickening,1
130,take shot every time pence says know,0
131,al bagdaddy,0
132,video starts 1700 rest pleasantries intro fluff,0
133,either actually answer single question whole thing,0
134,fly plz someone mention time fly comes dont want waste precious 1 half hour,1
135,im centrist vote blue bidens stance key issues dont know cant stand kamala horrible look face made back hand,1
136,said would banfraking liar,0
137,kamala female politician smart sexy man would love one night hell give 1 hour oh yeah shes bad,1
138,vote trump,0
139,mike pence ugly,1
140,82,0
141,pence dosent even know saying,0
142,mike pence well mind boggling fact checks lol,1
143,jeez see harris rated one hated politicians,1
144,pov u see bug,0
145,easy trust omar vocal,1
146,kamilaharris2020,0
147,ladys cringe wtf democracts tool run government fear feelings,1
148,trump done far black mixed racethan multiples presidents dont believe minute biden several points ahead trumpits media lies last time left media treat us like foolsand deny laugh found despicable biden son jail nowand see race presidency utter madness trump must get four yearsbecause democrats obviously need time get shit together find credible candidate,0
149,toxic poltics false proganda true leaders always,1
150,lot respect pence last time debated terrible wreck answer damn questions stall tactics bs,1
151,fly chillin mikes hair makes wonder full shit,1
152,im willing kamala gives great head im going lie thats positive thing take away debate,1
153,fake written body language,1
154,12738 hero show makes appearance,0
155,2020 look like end world must dreaming sleeping time wake people time choose good evil armageddon coming choose jesus christ son god son man king kings lord lords light truth eternal life choose satan son lawlessness devil dragon serpent deceiver death choose carefully choose wisely choose,1
156,theyre talking serious stuff ppl losing jobs dying kamala laughing,1
157,biden better trump like pence harris,0
158,got nice smile,1
159,12159 face regret realise dug grave,0
160,feel emphasize emotion much eats away important time important issue solve causes emotions answer question thats trying win argument thats winning audience moderator also authority speakers debates also feel like candidates would really bad responses really good ones haha,1
161,lowkey trump makes dabates watchable boring,1
162,harris talking mike interups harris mr vice president im speaking,0
163,believed tell started hearing free shit shes another mitchell obama youre stupid dont think,1
164,el puto guero se calla nomas ladra como perro,0
165,trump 2020,0
166,kamala bitch,0
167,know ever since trump president havent even heard single terroristic threat,0
168,kamala camel toe like hillary,0
169,mr vice president im speaking im speaking vice president important tell truth,1
170,trump remember creepybidenfamily democrats wikileaks real like julin assange,0
171,pence absolutely destroyed kamala dems dat fly tho,1
172,hunter smokes cocaine cigarettes,0
173,answering questions fighting based others accusations ignoring moderator asking,0
174,feel like senator harris fear mongering like crazy fear mongering never good sign,1
175,starting see pences true colors hes rude prolife blinded trump colorblind wont pushed around opposite sex lost debate kamala harris,0
176,moderated gives harris time world talk pence get nearly 2 min everytime b4 gets interrupted,0
177,pence really one press someone answer question,0
178,kamala harris clear day,0
179,think mr pence next president us bright wise,1
180,voted biden already settleforbiden,0
181,oh god many times pence going sidestep talk taxes,0
182,trump selfevident u cant todeyu cant tommorrow2200000 oeople dead due virusshame u trump admin 2020,0
183,hate dont answer question right ramble irrelevant topic run clock answering questions whole thing disrespectful cant respect others time rules somehow supposed responsible keys country heck yall gon na yell world leaders bug leaves horrible taste mouth,1
184,see shes evil definitely,1
185,pence killed bitch,0
186,shes black works,0
187,harris looks biden like god trump like satin laughing never answers question directly dont know shes talking little trump saying nothing good tries make trump look like hell cap ive never heard pence talk looks like eminem 80s,0
188,case missed vp debate im speaking know let respond im speaking fine talk im speaking know,0
189,want see fly 12738 ur welcome,1
190,unfair slant responding questions,1
191,fun fact pence us president united states 8 years,0
192,kool,0
193,ooh showdown,0
194,wearing nuzzles sick,1
195,andr maurois faults doomed oblivion thats deserve,0
196,trump 2020,0
197,look nonchalant pence looks shit sickening,1
198,kamala rude hateful arrogant fit lead duck water dog would better candidate,0
199,need understand covid19 global pandemic wasnt going global pandemic besides usa,0
200,first president take salary dems accuse stealing,0
201,challenge tell trumps health care plan kills obamacare whats plan folks know tell dont guess something,0
202,global spiritual revolution youtube watch fighting criminal family oh yeah amazed truth got search aint going find,0
203,warren g harding worst administration,1
204,february 7 warned limited stock ppe day trump administration announced sending 18 tons masks gowns respirators china,0
205,rudy went looking hard drive found floppy disk,1
206,howitsmade polygon kingbach wiimusic,0
207,gets cameras look difference pence speaks frustating,0
208,challenge tell trumps health care plan kills obamacare whats plan folks know tell dont guess something give details,0
209,delusional called woman say black couldve sworn sworn indian woman wow lets play fake race card,1
210,positive cases testing done facts,1
211,headboard kamala comes looking like manly wrestler,0
212,harris useless,0
213,even pence hates trump work bites tongue,0
214,easy mike pence,1
215,dont think democrats ask anything joe biden campaign fantastic gave us two strong debates hes shown us much cares much gets lets hold end bargain,1
216,917 shes ratchet gave hand rolling eyes bouncing neck around talking im speaking im speaking hes real vice president hussy show respect,0
217,trump second term hands,0
218,trump 2020,0
219,vote trump china laugh trump chinas puppet,0
220,donald trump audit,0
221,kamala trump president low taxes illegally paying debt hunter biden hold laptop,0
222,obvious joe biden done certainly treason im gutted america mean think bad even dont like trump alternative frightening,1
223,heard kamalas former coworkers shes mean snake,0
224,trump2020,0
225,would president trump feel november 3rd election rigged google democrat operative blows whistle massive mailin voting fraud operation google biden landslide democrats cant help whispering google huge absentee vote key states favors democrats far democrats want millions fake democrat mail ballots rig election favor joe biden google dead cat gets voter registration mail google expa rep charged judicial race ballot stuffing scandal google paterson election fraud charged know google 15 election results thrown fraudulent mailin ballots google trump campaign sues nevada ballots google political calculation romney criticizes trumps mailin voting attacks google indiana woman janet reed charged election fraud indiana woman arrested charged election fraud june google expa rep charged judicial race ballot stuffing scandal google ca dem party sinking new lows harvest absentee ballots google ballotharvesting became new way steal election google kamala harris elected take gun dealers licenses away executive action google kamala harris explains plan reparations without end google sen kamala harris discusses defund police movement view time history important people get couch november 3rd vote freedom america,1
226,debate moderator joe difficult running obamas vp 2008 currently running senator 2020,1
227,every time biden harris gets ask question first thing come mouth trump never answer question,0
228,ask joe tough questions debate lie handlers tell millions fake democrat mailin ballots make president google democrats threaten pack supreme court ginsburg replacement rushed last 4 years every time democrats didnt get wanted threatened america vote every democrat office november 3rd google biden claims would shut country scientists recommended course faucci tell millions people getting china released wuhan virus shut entire country collapse economy google kamala harris bidens radical vp pick signals bad news american workers economic recovery google biden landslide democrats cant help whispering millions fake democrat mailin ballots give biden landslide victory november 3rd google democrat operative blows whistle massive mailin voting fraud operation,0
229,vote lying bozo trump,0
230,christian republican time republicans started speaking protecting country traitor trump putins puppet supported fake fox news betrayed us sided traitor trump,0
231,debate tonight trump tries get cute mods put mute,1
232,joke,0
233,see flinch reaction glass stated respect american people courage leader speaking things might want people hear need hear think threw shot caught,0
234,donald trump secret chinese bank account paid 200000 taxes china paying 750 taxes america something serious wrong trump work us chinese government,0
235,religious mike pence fly headhis bible tells himhe evil,1
236,women judge debate,0
237,defend beautifully yet called racist remember,1
238,unhindered goldwater rule made range observations trumps mental health beginning even took office common displays narcissistic personality disorder characterized exaggerated sense importance exploitation others without guilt shame,1
239,one notices massively annoyed whiney voice sounds like someone pinching nose sound ill like cold sometimes also almost sounds like verge crying way voice trembles verrryyyyy annoying listen sounds unstable tension lying acting like someone else really impacts way speaks,1
240,looking forward bidenharris god bless usa,0
241,pence traditional deceiver,1
242,go watch totally control hulu,1
243,usa today completely unbiased moderator joke,0
244,fly came perfect moment,1
245,pence,0
246,fly boy pence,1
247,true biden really wanted get rid fossil fuels end fracking would vote really important environment since think unfortunately isnt true trump vote,1
248,correct im wrong didnt kamala call bidden racist lin democratic primary people look shhg kamala come man,1
249,lady kamala susan full shhh could see word lies coming kamalas mouth,1
250,im see everyone buzzing,0
251,south korea 51 million people 500 deaths usa 328 million people 220000 deaths first confimed covid19 case january 20 go trump,0
252,11328 fly landed dudes head like 30 seconds,1
253,donald trumps america 225000 pandemic deaths largest per capita record 12 million still unemployed inciting violence per hateful rhetoric new trump slogan vote someone else might even worse,1
254,trump bad america even worse young working men florida,1
255,heres thing people get news one source usually source like let explain lets say pro biden youll obviously watch source enjoy like trump well thing applies people often listen want hear must also listen sides story even fox news mainstream news listen around long time must also listen news sources others double check info given check contradicts facts another source listen sides story get understanding really think opinion news source wants think know reply comment start complaining fox news cnn ultimate source ignore human deserve opinion controlled news source tricked believing want think,0
256,trump experience pain humiliation mighty kick rear 200yr old democracy packing leaving wh much wants cling power insurance crimes real perceived voters decide lives wh,0
257,im speaking pence,0
258,terrible covid response russian collusion racist dog whistles posing christian embracing conspiracy theories lying american people disrespecting women voter suppression calling world wide pandemic hoax insulting intelligence americans calling immigrants criminals blaming others failures miss anything,0
259,pass obamacare bill order find whats bill nancy pelosi win election order find im resigning kamala harris president cmon man joe biden google biden says aint black torn trump joe biden democrat debate joe racist kamala harris believe bidens accusers kamala harris winning democrat nomination president kamala wan na vp joe biden hell yea joe kamala harris abraham lincoln abolished slavery republican democrats plan along biden quickly resign let harris president democrats call pence disrespectful joe telling president shut man youre clown respectful office,0
260,harris talking half americans worried paying rent trump grew oakland half americans worried way trump officei know moved stockton cuz couldnt afford rent bayi live stockton friends bay moved cuz couldnt afford rent bay wasnt trump,0
261,babyeinstein letitgo gottalent nickelodeon oingoboingo joeybadass thunderstorm,0
262,trumpster fire whine day always victim 10182020 debate moderator partisan democrat debate commission muting lines well waa waa 10192020 dr fauci disaster around 500 years people tired hearing dr fauci idiots every time fauci goes television theres always bomb theres bigger bomb fire faucis disaster waa waa fauci popular 10202020 countdownupdated tomorrow evening diaper change fox propaganda lemmings hate chris wallace faux dr fauci trump covid task force reelection ads cliff spray painted nov 3,1
263,guy named trump hoping get campaign bump got covid instead inside head makes sense ignored dr fauci listened pence,0
264,debate trump tries get cute mods put mute,1
265,remember trump promised stop foreign deals became president company developing new golf course scotland,0
266,president trump may interested pandemic pandemic unfortunately remains interested us,1
267,trumps whole game mark words going invalidating ballots justice departmentbill bar republican governors republican state legislatures appeals court judges placed bench supreme court 2000 replay need win big,0
268,vote lying bozo trump,0
269,google declassified docs show cia briefed obama hillarys plan link trump russia rpt google trump authorizes declassification russia documents without redactions guess single word cnn nbc msnbs ny times huffington post bloomberg abc hope everyone realizes trump done hes pulled underwear democratsintelligence servicesobamaclinton schiff mueller rest testimony given oath constitutes perjury google hillary clinton interference 2016 presidential election google fisa report reveals clinton meddled 2016 election nancy pelosi well whatever takes remove president trump office google sen lee comey accused trump horrible things without facts comey committed perjury everything said hearings oath schiff many corrupt democrats gave false testimony oath comey beginning coup overthrow president united states pelosi winked smiled said one law perjury 5year felony america,1
270,jacksonville fla antimoneylaundering specialists deutsche bank recommended 2016 2017 multiple transactions involving legal entities controlled donald j trump soninlaw jared kushner reported federal financialcrimes watchdog,0
271,breaking rolling stone magazine endorses biden says trump narcissist egotist shameless liar open bigot man simply understand notion sacrifice greater good even demands unthinking fealty service wow,1
272,inside look corruption white house coronavirus task force doctor deemed members illinformed influence scott atlas described washington post corrosive dangerous nicolledwallace,0
273,trump brags donating 400000 presidential salary somehow forgot mention golf trips cost taxpayers 141000000,0
274,weather demoncrat republican liars,0
275,pence incompetent could convince trump tell americans truth virus apparently downfall making,0
276,trump trash power whyte fox news whiyte trash power news network trumpkin trash trumpkin trash trumpkin trash trumpkin trash trumpkin trash,0
277,breakfast 2 slices wonder bread thin slather miracle whip 2 egg whites pinch flour spice since holidays coming glass skim milk sprinkle baking soda 5 minutes forget 125 tip plan leaving,1
278,breakfast 2 slices wonder bread thin slather miracle whip 2 egg whites pinch flour spice since holidays coming glass skim milk sprinkle baking soda 5 minutes forget 125 tip plan leaving,1
279,trump pence disgrace nation lie teeth daily basis pence empty headed lap dog melania jesus wept selected current republican party driven away decent people run racist corrupt slime balls vote straight blue ticket end embarrassing circus world looks america disgust,0
280,think much trump could accomplish us gop house senate get things passed impeachment,0
281,guy named trump hoping get campaign bump got covid instead inside head think makes sense ignored dr fauci listened pence,0
282,ooooooooooh kamala one sneaky slimy lying woman id call snake actually love snakes,1
283,harris walks start debate smile forced im cringing hard im even 2 minutes yet,0
284,trump virtually plan policy anything people want president give good reasons except biden corrupt taxes typical untrue trump america need solid reason 1 ill waiting,1
285,kamela got wrecked,0
286,11326 enter fly,1
287,guy named trump hoping get campaign bump got covid instead inside head makes sense ignored dr fauci listened pence,0
288,guy named trump hoping get campaign bump got covid instead inside head makes sense ignored dr fauci listened pence,0
289,trading beginner difficult due lack trading experience resulted losing funds though ive able recover lost thanks mr dennis__forex09 instagram never knew good trader still existed till come touch,1
290,fast talking new york salesman bad hair mean cruel cold religious extremist theocrat combo,1
291,biden 2020 trump cant protect white house protect us covid19 vote joe,0
292,biden 2020 trump cant protect white house protect us covid19 vote joe,0
293,look russian trolls simply wow youtube screen names fbi russian troll list got hand fox news know play game fact owner fox news isnt even american shows compromise,0
294,trump supporters yall crack anyway vote whoever want chile,0
295,cant stand kamala,0
296,independent trump debate kamala mike total confusion vote trump truthfully said democrats got pissed stopping people covid coming yes individual mandate healthcare unconstitutional allows martial law like system way joe pull win free college education free healthcare placing cap price clothing mortgagerent auto industry otherwise pointless dont want see rich people get taxed harder gone hire machines job prevent new businesses growing dont wan na see mandates healthcare allows implantable micro chips dont care russia chinas foreign economy,0
297,pence hooray,0
298,comes across distorded mind values mine morals mine,0
299,pence god witness greatest side stepper american history evangelical liar maybe fault hard defend indefensible scale 110 trump zero truth pence diving rapidly toward 4,1
